# patches_cabecalho.txt -- o lote de 2026-09-18 que entrou no patches.txt.
# Aprovado pelo usuario: grupo A inteiro, B e C desde que nao mexam nos 167
# quadros bons, e o par do cabecalho do frame 11.
#
# Origem: tools/cabecalho_slice.py (juiz: cabecalho valido pela norma e
# igual ao esperado -- tipo, frame_num e POC pelo ctts; deblocking 0/-1/-1,
# cabac_init 0, sem reordenacao nas constantes do filme; QP so em faixa larga).
# So entram solucoes UNICAS de 1 ou 2 bits.
#
# Verificacao antes de entrar: as imagens decodificadas dos 167 quadros bons
# (ilhas 0-10, 2333-2361, 3319-3444 e o frame 12) saem BYTE A BYTE iguais com
# o lote aplicado (serie com TARJA=1, base contra A, A+B e A+B+C).
#
# FORA do lote:
#   2361  a solucao desfaz um bit de reparo que ja esta no patches.txt
#         (77528965 2). Decisao do usuario, a parte.
#   10 quadros ambiguos (2+ solucoes): 15 79 232 858 1009 1871 (A), 1630 1772
#         2021 (C). O frame 11 era ambiguo e entrou porque o pixel decidiu.
#
# REMOVIDAS em 2026-09-18, com aprovacao do usuario: 12 linhas de 6 quadros do
# grupo B (1599, 1601, 1602, 1603, 1604, 1606). A ferramenta reconhecia IDR pelo
# byte NAL e tratou o 1595 como IDR -- ele nao e: os 9 cabecalhos legiveis de
# 1596-1610 continuam a sequencia do IDR 1582, nenhum reinicia. Essas 6
# "correcoes" trocavam frame_num/POC certos por valores contados a partir do IDR
# falso. A verificacao dos 167 nao pegou porque o trecho fica fora das ilhas.
#
# colunas: offset bit | quadro | grupo | o que o cabecalho tinha
10275625 4 | 287 | B frame_num/POC/tipo errado | valido, desvia 1/1
10275626 0 | 287 | B frame_num/POC/tipo errado | valido, desvia 1/1
10755696 1 | 301 | B frame_num/POC/tipo errado | valido, desvia 1/1
10755700 3 | 301 | B frame_num/POC/tipo errado | valido, desvia 1/1
10901282 1 | 305 | B frame_num/POC/tipo errado | valido, desvia 1/0
11203968 6 | 310 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
11794858 5 | 330 | B frame_num/POC/tipo errado | valido, desvia 1/0
11898708 7 | 335 | B frame_num/POC/tipo errado | valido, desvia 1/0
11948010 4 | 336 | B frame_num/POC/tipo errado | valido, desvia 2/0
11948011 5 | 336 | B frame_num/POC/tipo errado | valido, desvia 2/0
11991731 2 | 339 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=6 fora de [0,2]
12086738 1 | 342 | B frame_num/POC/tipo errado | valido, desvia 1/1
12086740 3 | 342 | B frame_num/POC/tipo errado | valido, desvia 1/1
12521611 4 | 354 | B frame_num/POC/tipo errado | valido, desvia 1/0
12530672 2 | 355 | B frame_num/POC/tipo errado | valido, desvia 1/0
12767484 0 | 364 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
12917212 2 | 369 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
13017072 5 | 370 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=7 fora de [0,2]
13262983 7 | 377 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
13361256 4 | 378 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
13361258 3 | 378 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
13704641 3 | 385 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
13713458 3 | 386 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
13908153 6 | 391 | B frame_num/POC/tipo errado | valido, desvia 1/1
13908154 1 | 391 | B frame_num/POC/tipo errado | valido, desvia 1/1
13960762 2 | 394 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
14054442 4 | 395 | B frame_num/POC/tipo errado | valido, desvia 1/0
14101790 0 | 397 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
14101794 3 | 397 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
14295607 6 | 401 | A cabecalho invalido | invalido: cabac_init_idc=38 fora de [0,2]
14686689 7 | 408 | B frame_num/POC/tipo errado | valido, desvia 1/0
15142027 2 | 417 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
15142030 5 | 417 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
15431108 5 | 425 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=268830406 fora de [0,3]
15473020 1 | 427 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
15828238 6 | 433 | A cabecalho invalido | invalido: cabac_init_idc=42 fora de [0,2]
17346849 4 | 466 | B frame_num/POC/tipo errado | valido, desvia 1/0
17584159 5 | 474 | B frame_num/POC/tipo errado | valido, desvia 1/0
17584159 3 | 474 | B frame_num/POC/tipo errado | valido, desvia 1/0
17598108 0 | 475 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
17738044 5 | 480 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
18728178 2 | 505 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
18728179 1 | 505 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
19411079 1 | 515 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
19452072 3 | 516 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/3
19452073 1 | 516 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/3
19455483 1 | 517 | A cabecalho invalido | invalido: abs_diff_pic_num_minus1=8215 fora de [0,255]
19462191 3 | 519 | B frame_num/POC/tipo errado | valido, desvia 1/0
19551460 0 | 521 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=3 fora de [0,2]
19551461 6 | 521 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=3 fora de [0,2]
19652924 1 | 525 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
19652925 7 | 525 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
19664245 0 | 526 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
20218440 0 | 537 | A cabecalho invalido | invalido: ue com zeros demais
20252986 2 | 538 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
21078405 5 | 555 | B frame_num/POC/tipo errado | valido, desvia 2/0
21078406 6 | 555 | B frame_num/POC/tipo errado | valido, desvia 2/0
21231470 7 | 559 | B frame_num/POC/tipo errado | valido, desvia 1/0
21421220 7 | 563 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
21727608 7 | 572 | B frame_num/POC/tipo errado | valido, desvia 1/0
21727608 3 | 572 | B frame_num/POC/tipo errado | valido, desvia 1/0
21813832 6 | 575 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=63 fora de [0,3]
21813833 0 | 575 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=63 fora de [0,3]
22057981 7 | 582 | B frame_num/POC/tipo errado | valido, desvia 1/0
22209903 6 | 588 | A cabecalho invalido | invalido: cabac_init_idc=26 fora de [0,2]
22352355 5 | 592 | B frame_num/POC/tipo errado | valido, desvia 1/0
22598317 1 | 597 | A cabecalho invalido | invalido: ue com zeros demais
22606012 1 | 598 | B frame_num/POC/tipo errado | valido, desvia 1/0
22704952 4 | 601 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
22998607 7 | 610 | B frame_num/POC/tipo errado | valido, desvia 1/0
23103802 4 | 612 | B frame_num/POC/tipo errado | valido, desvia 1/0
23436086 3 | 622 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
23681526 5 | 626 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=8 fora de [0,3]
23681528 3 | 626 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=8 fora de [0,3]
23690683 2 | 627 | B frame_num/POC/tipo errado | valido, desvia 1/1
23690688 5 | 627 | B frame_num/POC/tipo errado | valido, desvia 1/1
23756205 4 | 629 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
23782796 0 | 630 | A cabecalho invalido | invalido: ue com zeros demais
23782797 3 | 630 | A cabecalho invalido | invalido: ue com zeros demais
23883287 5 | 633 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=4 fora de [0,3]
23883289 4 | 633 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=4 fora de [0,3]
23984564 7 | 636 | A cabecalho invalido | invalido: qp=-3 fora de [0,51]
23984566 2 | 636 | A cabecalho invalido | invalido: qp=-3 fora de [0,51]
24141620 1 | 641 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
24182677 0 | 643 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
24475742 2 | 649 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
24567643 0 | 656 | A cabecalho invalido | invalido: luma_log2_weight_denom=65 fora de [0,7]
24620190 0 | 657 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
24620193 6 | 657 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
24628289 6 | 658 | B frame_num/POC/tipo errado | valido, desvia 1/0
24825384 2 | 667 | B frame_num/POC/tipo errado | valido, desvia 1/1
24825387 3 | 667 | B frame_num/POC/tipo errado | valido, desvia 1/1
24915559 5 | 669 | B frame_num/POC/tipo errado | valido, desvia 1/0
25057789 3 | 674 | B frame_num/POC/tipo errado | valido, desvia 1/0
25070841 3 | 675 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=1023 fora de [0,3]
25403594 7 | 681 | B frame_num/POC/tipo errado | valido, desvia 1/1
25403598 3 | 681 | B frame_num/POC/tipo errado | valido, desvia 1/1
25895572 0 | 697 | B frame_num/POC/tipo errado | valido, desvia 1/0
26045501 4 | 700 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
26486964 0 | 709 | B frame_num/POC/tipo errado | valido, desvia 1/0
26585142 1 | 714 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
26777566 2 | 720 | B frame_num/POC/tipo errado | valido, desvia 1/1
26777569 0 | 720 | B frame_num/POC/tipo errado | valido, desvia 1/1
26878360 4 | 723 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
26928528 4 | 726 | B frame_num/POC/tipo errado | valido, desvia 1/0
27030694 0 | 728 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
27627305 5 | 740 | B frame_num/POC/tipo errado | valido, desvia 1/1
27627306 0 | 740 | B frame_num/POC/tipo errado | valido, desvia 1/1
27918784 2 | 751 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
27918786 2 | 751 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
28304493 2 | 761 | B frame_num/POC/tipo errado | valido, desvia 1/0
28575808 5 | 764 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
28610511 0 | 765 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
28610514 6 | 765 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
28705260 6 | 770 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=3 fora de [0,2]
28801832 1 | 774 | B frame_num/POC/tipo errado | valido, desvia 1/0
28900098 6 | 777 | A cabecalho invalido | invalido: cabac_init_idc=22 fora de [0,2]
28953938 1 | 780 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
28953939 4 | 780 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
29199891 3 | 786 | B frame_num/POC/tipo errado | valido, desvia 1/0
29539761 0 | 800 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=4 fora de [0,2]
29539764 5 | 800 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=4 fora de [0,2]
29630322 0 | 804 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
29779984 2 | 810 | B frame_num/POC/tipo errado | valido, desvia 1/0
29836316 5 | 813 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
29975177 1 | 819 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
29975179 1 | 819 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
30032147 0 | 821 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=2051 fora de [0,3]
30127342 4 | 827 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
30127346 4 | 827 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
30169879 1 | 829 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
30320768 0 | 836 | B frame_num/POC/tipo errado | valido, desvia 2/0
30320770 6 | 836 | B frame_num/POC/tipo errado | valido, desvia 2/0
30415738 1 | 841 | B frame_num/POC/tipo errado | valido, desvia 1/1
30415739 1 | 841 | B frame_num/POC/tipo errado | valido, desvia 1/1
30428178 2 | 842 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
30511553 4 | 844 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
30668821 0 | 853 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
30809534 5 | 859 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
30913015 4 | 863 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
30913019 1 | 863 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
30958912 2 | 864 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
31754546 1 | 892 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
31840558 0 | 895 | B frame_num/POC/tipo errado | valido, desvia 2/0
31840559 0 | 895 | B frame_num/POC/tipo errado | valido, desvia 2/0
31946897 3 | 899 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
32085858 0 | 902 | B frame_num/POC/tipo errado | valido, desvia 1/1
32085862 2 | 902 | B frame_num/POC/tipo errado | valido, desvia 1/1
32237268 4 | 909 | B frame_num/POC/tipo errado | valido, desvia 1/0
32337575 4 | 913 | B frame_num/POC/tipo errado | valido, desvia 1/0
32439156 1 | 917 | B frame_num/POC/tipo errado | valido, desvia 1/1
32439158 1 | 917 | B frame_num/POC/tipo errado | valido, desvia 1/1
32930238 0 | 931 | A cabecalho invalido | invalido: abs_diff_pic_num_minus1=4095 fora de [0,255]
32930239 0 | 931 | A cabecalho invalido | invalido: abs_diff_pic_num_minus1=4095 fora de [0,255]
32989669 7 | 934 | B frame_num/POC/tipo errado | valido, desvia 1/0
33071487 5 | 938 | B frame_num/POC/tipo errado | valido, desvia 2/0
33071487 0 | 938 | B frame_num/POC/tipo errado | valido, desvia 2/0
33214685 2 | 943 | A cabecalho invalido | invalido: cabac_init_idc=19 fora de [0,2]
33214693 2 | 943 | A cabecalho invalido | invalido: cabac_init_idc=19 fora de [0,2]
33274752 2 | 945 | B frame_num/POC/tipo errado | valido, desvia 2/0
33274753 3 | 945 | B frame_num/POC/tipo errado | valido, desvia 2/0
33326039 7 | 946 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
33665015 5 | 958 | A cabecalho invalido | invalido: cabac_init_idc=14 fora de [0,2]
33818999 5 | 964 | B frame_num/POC/tipo errado | valido, desvia 1/0
33910979 3 | 968 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=2228247 fora de [0,3]
34101662 6 | 975 | A cabecalho invalido | invalido: cabac_init_idc=18 fora de [0,2]
34151415 1 | 978 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/3
34151418 7 | 978 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/3
34202676 3 | 979 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=134316162 fora de [0,3]
34445667 7 | 986 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=511 fora de [0,3]
34445668 7 | 986 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=511 fora de [0,3]
34496065 7 | 988 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
34551429 0 | 991 | B frame_num/POC/tipo errado | valido, desvia 1/0
34551430 3 | 991 | B frame_num/POC/tipo errado | valido, desvia 1/0
34647602 0 | 995 | B frame_num/POC/tipo errado | valido, desvia 1/0
34848240 0 | 1001 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/4
34942188 2 | 1004 | B frame_num/POC/tipo errado | valido, desvia 1/0
35043350 0 | 1007 | B frame_num/POC/tipo errado | valido, desvia 1/0
35340703 7 | 1014 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
35486903 4 | 1020 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
35531509 1 | 1021 | B frame_num/POC/tipo errado | valido, desvia 1/0
35677598 5 | 1027 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=3 fora de [0,2]
35870933 1 | 1033 | A cabecalho invalido | invalido: beta=16408 fora de [-6,6]
35870933 0 | 1033 | A cabecalho invalido | invalido: beta=16408 fora de [-6,6]
35926598 6 | 1036 | A cabecalho invalido | invalido: qp=-92 fora de [0,51]
35926601 0 | 1036 | A cabecalho invalido | invalido: qp=-92 fora de [0,51]
36025603 6 | 1039 | B frame_num/POC/tipo errado | valido, desvia 1/0
36217359 5 | 1043 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
36217363 3 | 1043 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
36312322 2 | 1048 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=6 fora de [0,3]
36312323 0 | 1048 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=6 fora de [0,3]
36324578 0 | 1049 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
36414360 4 | 1051 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
36559782 7 | 1057 | B frame_num/POC/tipo errado | valido, desvia 1/0
36615853 2 | 1058 | B frame_num/POC/tipo errado | valido, desvia 1/2
36615857 6 | 1058 | B frame_num/POC/tipo errado | valido, desvia 1/2
37098004 2 | 1070 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/3
37146878 1 | 1071 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
37357744 1 | 1079 | A cabecalho invalido | invalido: abs_diff_pic_num_minus1=4101 fora de [0,255]
37420095 3 | 1083 | B frame_num/POC/tipo errado | valido, desvia 1/0
37423245 3 | 1084 | B frame_num/POC/tipo errado | valido, desvia 1/0
37491693 1 | 1090 | B frame_num/POC/tipo errado | valido, desvia 2/0
37491694 6 | 1090 | B frame_num/POC/tipo errado | valido, desvia 2/0
37589587 7 | 1097 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
37885704 5 | 1108 | B frame_num/POC/tipo errado | valido, desvia 1/0
38039983 6 | 1115 | B frame_num/POC/tipo errado | valido, desvia 1/0
38382632 6 | 1129 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
38535472 3 | 1134 | A cabecalho invalido | invalido: cabac_init_idc=15 fora de [0,2]
39115484 7 | 1151 | B frame_num/POC/tipo errado | valido, desvia 1/0
39173079 5 | 1154 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/3
39463787 6 | 1167 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
39569895 7 | 1170 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
39999089 7 | 1184 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
39999092 6 | 1184 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
40247599 7 | 1191 | B frame_num/POC/tipo errado | valido, desvia 1/0
40404379 1 | 1195 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
40404380 3 | 1195 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
40843372 5 | 1203 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=7 fora de [0,3]
40843374 5 | 1203 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=7 fora de [0,3]
41087263 4 | 1212 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=4718639 fora de [0,3]
41087263 0 | 1212 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=4718639 fora de [0,3]
41254554 0 | 1218 | A cabecalho invalido | invalido: luma_log2_weight_denom=81 fora de [0,7]
41254556 3 | 1218 | A cabecalho invalido | invalido: luma_log2_weight_denom=81 fora de [0,7]
41334960 2 | 1219 | B frame_num/POC/tipo errado | valido, desvia 1/1
41334961 0 | 1219 | B frame_num/POC/tipo errado | valido, desvia 1/1
41384371 3 | 1221 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=63 fora de [0,3]
41721232 0 | 1229 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
