# cabecalho_slice.txt -- saida de `python tools/cabecalho_slice.py`, 2026-09-18.
# NAO SAO PATCHES. Nada disto esta no patches.txt.
#
# Cada linha: quadro | estado do cabecalho hoje | solucoes de 1 ou 2 bits que
# deixam o cabecalho valido pela norma E igual ao esperado (tipo, frame_num e
# POC pelo ctts; constantes do filme). Formato das solucoes: offset bit.
#
# RESULTADO MEDIDO (mapa corrigido e serie, aplicando as solucoes UNICAS):
#
#   grupo                        quadros  unicas  efeito
#   A cabecalho invalido            443     252   157 passam a emitir imagem;
#                                                 mb sobe em 179, cai em 14
#   B valido, frame_num/POC errado  267     226   parse quase nao muda
#   C so campos incomuns            164     144   PIORA (cai 48, sobe 15) --
#                                                 "incomum" e escolha do
#                                                 codificador; controle negativo
#
#   Critério rigoroso: 209 -> 211 com o grupo A (frames 960 e 961, que dependem
#   do 958, consertado por 1 bit em cabac_init_idc). A IMAGEM DOS DOIS E
#   LISTRADA -- o GOP inteiro herda o IDR 953 borrado (armadilha 56). Ganho de
#   imagem boa: zero, como o RASTREIO.md ja registrava para os 536 candidatos de
#   frame_num/POC do cabecalhos.py.
#
# AMBIGUOS precisam do pixel: o frame 11 tem duas solucoes; a certa
# (147709 7 + 147712 1) prediz a tarja em 16 exato no MB 0, a outra
# (147707 0 + 147712 1) prediz 34 e croma 255.
#
# quadro | estado do cabecalho hoje | solucoes (offset bit [+ offset bit])
362 | invalido: num_ref_idx_l0=35 fora de [0,31] | 0 solucao(oes): 
364 | valido, desvia 0/1 | 1 solucao(oes): 12767484 0
369 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 12917212 2
370 | invalido: disable_deblocking_filter_idc=7 fora de [0,2] | 1 solucao(oes): 13017072 5
377 | valido, desvia 0/1 | 1 solucao(oes): 13262983 7
378 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 13361256 4 + 13361258 3
385 | valido, desvia 0/1 | 1 solucao(oes): 13704641 3
386 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 13713458 3
391 | valido, desvia 1/1 | 1 solucao(oes): 13908153 6 + 13908154 1
394 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 13960762 2
395 | valido, desvia 1/0 | 1 solucao(oes): 14054442 4
397 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 14101790 0 + 14101794 3
401 | invalido: cabac_init_idc=38 fora de [0,2] | 1 solucao(oes): 14295607 6
405 | valido, desvia 1/2 | 0 solucao(oes): 
408 | valido, desvia 1/0 | 1 solucao(oes): 14686689 7
411 | invalido: cabac_init_idc=34 fora de [0,2] | 0 solucao(oes): 
412 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
416 | invalido: modification_of_pic_nums_idc=12 fora de [0,3] | 0 solucao(oes): 
417 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 15142027 2 + 15142030 5
425 | invalido: modification_of_pic_nums_idc=268830406 fora de [0,3] | 1 solucao(oes): 15431108 5
427 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 15473020 1
428 | invalido: num_ref_idx_l0=51 fora de [0,31] | 0 solucao(oes): 
431 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
433 | invalido: cabac_init_idc=42 fora de [0,2] | 1 solucao(oes): 15828238 6
436 | invalido: beta=256 fora de [-6,6] | 0 solucao(oes): 
448 | invalido: cabac_init_idc=28 fora de [0,2] | 0 solucao(oes): 
461 | invalido: modification_of_pic_nums_idc=23 fora de [0,3] | 0 solucao(oes): 
466 | valido, desvia 1/0 | 1 solucao(oes): 17346849 4
473 | invalido: luma_log2_weight_denom=8 fora de [0,7] | 0 solucao(oes): 
474 | valido, desvia 1/0 | 1 solucao(oes): 17584159 5 + 17584159 3
475 | valido, desvia 0/1 | 1 solucao(oes): 17598108 0
480 | invalido: disable_deblocking_filter_idc=5 fora de [0,2] | 1 solucao(oes): 17738044 5
492 | valido, desvia 1/2 | 0 solucao(oes): 
505 | valido, desvia 0/3 | 1 solucao(oes): 18728178 2 + 18728179 1
515 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 19411079 1
516 | valido, desvia 0/3 | 1 solucao(oes): 19452072 3 + 19452073 1
517 | invalido: abs_diff_pic_num_minus1=8215 fora de [0,255] | 1 solucao(oes): 19455483 1
519 | valido, desvia 1/0 | 1 solucao(oes): 19462191 3
521 | invalido: disable_deblocking_filter_idc=3 fora de [0,2] | 1 solucao(oes): 19551460 0 + 19551461 6
525 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 1 solucao(oes): 19652924 1 + 19652925 7
526 | valido, desvia 0/1 | 1 solucao(oes): 19664245 0
533 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
537 | invalido: ue com zeros demais | 1 solucao(oes): 20218440 0
538 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 20252986 2
549 | invalido: cabac_init_idc=58 fora de [0,2] | 0 solucao(oes): 
552 | invalido: disable_deblocking_filter_idc=3 fora de [0,2] | 0 solucao(oes): 
555 | valido, desvia 2/0 | 1 solucao(oes): 21078405 5 + 21078406 6
559 | valido, desvia 1/0 | 1 solucao(oes): 21231470 7
563 | valido, desvia 0/1 | 1 solucao(oes): 21421220 7
568 | valido, desvia 0/1 | 1 solucao(oes): 21621168 1
572 | valido, desvia 1/0 | 1 solucao(oes): 21727608 7 + 21727608 3
575 | invalido: modification_of_pic_nums_idc=63 fora de [0,3] | 1 solucao(oes): 21813832 6 + 21813833 0
582 | valido, desvia 1/0 | 1 solucao(oes): 22057981 7
588 | invalido: cabac_init_idc=26 fora de [0,2] | 1 solucao(oes): 22209903 6
592 | valido, desvia 1/0 | 1 solucao(oes): 22352355 5
597 | invalido: ue com zeros demais | 1 solucao(oes): 22598317 1
598 | valido, desvia 1/0 | 1 solucao(oes): 22606012 1
601 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 22704952 4
604 | invalido: mmco=10 fora de [0,6] | 0 solucao(oes): 
606 | valido, desvia 1/1 | 0 solucao(oes): 
610 | valido, desvia 1/0 | 1 solucao(oes): 22998607 7
612 | valido, desvia 1/0 | 1 solucao(oes): 23103802 4
616 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
620 | invalido: mmco=12 fora de [0,6] | 0 solucao(oes): 
622 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 23436086 3
626 | invalido: modification_of_pic_nums_idc=8 fora de [0,3] | 1 solucao(oes): 23681526 5 + 23681528 3
627 | valido, desvia 1/1 | 1 solucao(oes): 23690683 2 + 23690688 5
629 | valido, desvia 0/2 | 1 solucao(oes): 23756205 4
630 | invalido: ue com zeros demais | 1 solucao(oes): 23782796 0 + 23782797 3
633 | invalido: modification_of_pic_nums_idc=4 fora de [0,3] | 1 solucao(oes): 23883287 5 + 23883289 4
636 | invalido: qp=-3 fora de [0,51] | 1 solucao(oes): 23984564 7 + 23984566 2
639 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
641 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 24141620 1
643 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 24182677 0
649 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 24475742 2
656 | invalido: luma_log2_weight_denom=65 fora de [0,7] | 1 solucao(oes): 24567643 0
657 | invalido: disable_deblocking_filter_idc=5 fora de [0,2] | 0 solucao(oes): 
658 | valido, desvia 1/0 | 1 solucao(oes): 24628289 6
661 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
666 | valido, desvia 1/1 | 0 solucao(oes): 
667 | valido, desvia 1/2 | 0 solucao(oes): 
669 | valido, desvia 1/0 | 1 solucao(oes): 24915559 5
674 | valido, desvia 1/0 | 1 solucao(oes): 25057789 3
675 | invalido: modification_of_pic_nums_idc=1023 fora de [0,3] | 1 solucao(oes): 25070841 3
681 | valido, desvia 1/1 | 1 solucao(oes): 25403594 7 + 25403598 3
682 | invalido: modification_of_pic_nums_idc=10 fora de [0,3] | 0 solucao(oes): 
685 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 0 solucao(oes): 
697 | valido, desvia 1/0 | 1 solucao(oes): 25895572 0
700 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 26045501 4
709 | valido, desvia 1/0 | 1 solucao(oes): 26486964 0
714 | valido, desvia 0/1 | 1 solucao(oes): 26585142 1
718 | invalido: long_term_pic_num=511 fora de [0,255] | 0 solucao(oes): 
720 | valido, desvia 1/1 | 1 solucao(oes): 26777566 2 + 26777569 0
723 | valido, desvia 0/1 | 1 solucao(oes): 26878360 4
726 | valido, desvia 1/0 | 1 solucao(oes): 26928528 4
728 | valido, desvia 0/1 | 1 solucao(oes): 27030694 0
740 | valido, desvia 1/1 | 1 solucao(oes): 27627305 5 + 27627306 0
746 | invalido: cabac_init_idc=22 fora de [0,2] | 0 solucao(oes): 
750 | invalido: modification_of_pic_nums_idc=8727 fora de [0,3] | 0 solucao(oes): 
751 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 27918784 2 + 27918786 2
761 | valido, desvia 1/0 | 1 solucao(oes): 28304493 2
764 | valido, desvia 0/1 | 1 solucao(oes): 28575808 5
765 | valido, desvia 0/2 | 1 solucao(oes): 28610511 0 + 28610514 6
770 | invalido: disable_deblocking_filter_idc=3 fora de [0,2] | 1 solucao(oes): 28705260 6
774 | valido, desvia 1/0 | 1 solucao(oes): 28801832 1
777 | invalido: cabac_init_idc=22 fora de [0,2] | 1 solucao(oes): 28900098 6
780 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 28953938 1 + 28953939 4
781 | invalido: ue com zeros demais | 0 solucao(oes): 
786 | valido, desvia 1/0 | 1 solucao(oes): 29199891 3
792 | invalido: ue com zeros demais | 0 solucao(oes): 
800 | invalido: disable_deblocking_filter_idc=4 fora de [0,2] | 0 solucao(oes): 
804 | valido, desvia 0/1 | 1 solucao(oes): 29630322 0
810 | valido, desvia 1/0 | 1 solucao(oes): 29779984 2
813 | valido, desvia 0/1 | 1 solucao(oes): 29836316 5
819 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
821 | invalido: modification_of_pic_nums_idc=2051 fora de [0,3] | 1 solucao(oes): 30032147 0
827 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 30127342 4 + 30127346 4
829 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 30169879 1
835 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
836 | valido, desvia 2/0 | 1 solucao(oes): 30320768 0 + 30320770 6
841 | valido, desvia 1/1 | 1 solucao(oes): 30415738 1 + 30415739 1
842 | valido, desvia 0/1 | 1 solucao(oes): 30428178 2
844 | valido, desvia 0/2 | 1 solucao(oes): 30511553 4
853 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 30668821 0
858 | invalido: cabac_alignment_one_bit = 0 | 19 solucao(oes): 30772063 3 + 30772072 1 ; 30772063 3 + 30772073 2 ; 30772063 2 + 30772072 1 ; 30772063 2 + 30772073 2 ; 30772064 1 + 30772072 1 ; 30772064 1 + 30772073 2
859 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 30809534 5
863 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 30913015 4 + 30913019 1
864 | valido, desvia 0/1 | 1 solucao(oes): 30958912 2
868 | valido, desvia 2/1 | 0 solucao(oes): 
877 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
883 | invalido: alpha=-54 fora de [-6,6] | 0 solucao(oes): 
886 | invalido: modification_of_pic_nums_idc=22 fora de [0,3] | 0 solucao(oes): 
889 | invalido: modification_of_pic_nums_idc=11534336 fora de [0,3] | 0 solucao(oes): 
892 | valido, desvia 0/1 | 1 solucao(oes): 31754546 1
895 | valido, desvia 2/0 | 1 solucao(oes): 31840558 0 + 31840559 0
899 | valido, desvia 0/1 | 1 solucao(oes): 31946897 3
902 | valido, desvia 1/1 | 1 solucao(oes): 32085858 0 + 32085862 2
905 | invalido: ue com zeros demais | 0 solucao(oes): 
909 | valido, desvia 1/0 | 1 solucao(oes): 32237268 4
913 | valido, desvia 1/0 | 1 solucao(oes): 32337575 4
915 | invalido: mmco=8 fora de [0,6] | 0 solucao(oes): 
917 | valido, desvia 1/1 | 1 solucao(oes): 32439156 1 + 32439158 1
925 | invalido: modification_of_pic_nums_idc=7 fora de [0,3] | 0 solucao(oes): 
931 | invalido: abs_diff_pic_num_minus1=4095 fora de [0,255] | 1 solucao(oes): 32930238 0 + 32930239 0
934 | valido, desvia 1/0 | 1 solucao(oes): 32989669 7
938 | valido, desvia 2/0 | 1 solucao(oes): 33071487 5 + 33071487 0
941 | invalido: mmco=11 fora de [0,6] | 0 solucao(oes): 
943 | invalido: cabac_init_idc=19 fora de [0,2] | 1 solucao(oes): 33214685 2 + 33214693 2
945 | valido, desvia 2/0 | 1 solucao(oes): 33274752 2 + 33274753 3
946 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 1 solucao(oes): 33326039 7
951 | invalido: long_term_pic_num=1023 fora de [0,255] | 0 solucao(oes): 
958 | invalido: cabac_init_idc=14 fora de [0,2] | 1 solucao(oes): 33665015 5
964 | valido, desvia 1/0 | 1 solucao(oes): 33818999 5
968 | invalido: modification_of_pic_nums_idc=2228247 fora de [0,3] | 1 solucao(oes): 33910979 3
974 | valido, desvia 1/2 | 0 solucao(oes): 
975 | invalido: cabac_init_idc=18 fora de [0,2] | 1 solucao(oes): 34101662 6
978 | valido, desvia 0/3 | 1 solucao(oes): 34151415 1 + 34151418 7
979 | invalido: modification_of_pic_nums_idc=134316162 fora de [0,3] | 1 solucao(oes): 34202676 3
986 | invalido: modification_of_pic_nums_idc=511 fora de [0,3] | 1 solucao(oes): 34445667 7 + 34445668 7
988 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 1 solucao(oes): 34496065 7
991 | valido, desvia 1/0 | 1 solucao(oes): 34551429 0 + 34551430 3
995 | valido, desvia 1/0 | 1 solucao(oes): 34647602 0
1001 | valido, desvia 0/4 | 1 solucao(oes): 34848240 0
1004 | valido, desvia 1/0 | 1 solucao(oes): 34942188 2
1007 | valido, desvia 1/0 | 1 solucao(oes): 35043350 0
1009 | invalido: cabac_alignment_one_bit = 0 | 2 solucao(oes): 35088338 7 + 35088339 0 ; 35088338 7 + 35088340 1
1012 | invalido: modification_of_pic_nums_idc=7 fora de [0,3] | 0 solucao(oes): 
1014 | valido, desvia 0/1 | 1 solucao(oes): 35340703 7
1018 | invalido: modification_of_pic_nums_idc=4 fora de [0,3] | 0 solucao(oes): 
1020 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 35486903 4
1021 | valido, desvia 1/0 | 1 solucao(oes): 35531509 1
1027 | invalido: disable_deblocking_filter_idc=3 fora de [0,2] | 1 solucao(oes): 35677598 5
1030 | invalido: pps_id=121 fora de [0,0] | 0 solucao(oes): 
1033 | invalido: beta=16408 fora de [-6,6] | 1 solucao(oes): 35870933 1 + 35870933 0
1036 | invalido: qp=-92 fora de [0,51] | 1 solucao(oes): 35926598 6 + 35926601 0
1039 | valido, desvia 1/0 | 1 solucao(oes): 36025603 6
1043 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 36217359 5 + 36217363 3
1048 | invalido: modification_of_pic_nums_idc=6 fora de [0,3] | 1 solucao(oes): 36312322 2 + 36312323 0
1049 | valido, desvia 0/1 | 1 solucao(oes): 36324578 0
1051 | valido, desvia 0/1 | 1 solucao(oes): 36414360 4
1057 | valido, desvia 1/0 | 1 solucao(oes): 36559782 7
1058 | valido, desvia 1/2 | 1 solucao(oes): 36615853 2 + 36615857 6
1060 | invalido: modification_of_pic_nums_idc=4 fora de [0,3] | 0 solucao(oes): 
1063 | invalido: cabac_init_idc=3 fora de [0,2] | 0 solucao(oes): 
1065 | invalido: modification_of_pic_nums_idc=7 fora de [0,3] | 0 solucao(oes): 
1070 | valido, desvia 0/3 | 1 solucao(oes): 37098004 2
1071 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 37146878 1
1079 | invalido: abs_diff_pic_num_minus1=4101 fora de [0,255] | 1 solucao(oes): 37357744 1
1083 | valido, desvia 1/0 | 1 solucao(oes): 37420095 3
1084 | valido, desvia 1/0 | 1 solucao(oes): 37423245 3
1090 | valido, desvia 2/0 | 1 solucao(oes): 37491693 1 + 37491694 6
1097 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 1 solucao(oes): 37589587 7
1108 | valido, desvia 1/0 | 1 solucao(oes): 37885704 5
1109 | invalido: long_term_pic_num=4194319 fora de [0,255] | 0 solucao(oes): 
1115 | valido, desvia 1/0 | 1 solucao(oes): 38039983 6
1123 | invalido: cabac_init_idc=139263 fora de [0,2] | 0 solucao(oes): 
1129 | invalido: disable_deblocking_filter_idc=5 fora de [0,2] | 1 solucao(oes): 38382632 6
1134 | invalido: cabac_init_idc=15 fora de [0,2] | 1 solucao(oes): 38535472 3
1151 | valido, desvia 1/0 | 1 solucao(oes): 39115484 7
1153 | valido, desvia 0/3 | 0 solucao(oes): 
1154 | valido, desvia 0/3 | 1 solucao(oes): 39173079 5
1159 | invalido: cabac_init_idc=15 fora de [0,2] | 0 solucao(oes): 
1163 | invalido: ue com zeros demais | 0 solucao(oes): 
1167 | invalido: disable_deblocking_filter_idc=5 fora de [0,2] | 1 solucao(oes): 39463787 6
1170 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 1 solucao(oes): 39569895 7
1174 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
1179 | valido, desvia 2/0 | 0 solucao(oes): 
1181 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 0 solucao(oes): 
1184 | invalido: disable_deblocking_filter_idc=5 fora de [0,2] | 1 solucao(oes): 39999089 7 + 39999092 6
1191 | valido, desvia 1/0 | 1 solucao(oes): 40247599 7
1195 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 40404379 1 + 40404380 3
1202 | invalido: modification_of_pic_nums_idc=7 fora de [0,3] | 0 solucao(oes): 
1203 | invalido: modification_of_pic_nums_idc=7 fora de [0,3] | 1 solucao(oes): 40843372 5 + 40843374 5
1207 | valido, desvia 2/0 | 0 solucao(oes): 
1212 | invalido: modification_of_pic_nums_idc=4718639 fora de [0,3] | 1 solucao(oes): 41087263 4 + 41087263 0
1218 | invalido: luma_log2_weight_denom=81 fora de [0,7] | 1 solucao(oes): 41254554 0 + 41254556 3
1219 | valido, desvia 1/1 | 1 solucao(oes): 41334960 2 + 41334961 0
1221 | invalido: modification_of_pic_nums_idc=63 fora de [0,3] | 1 solucao(oes): 41384371 3
1229 | valido, desvia 0/1 | 1 solucao(oes): 41721232 0
1235 | invalido: cabac_init_idc=3 fora de [0,2] | 0 solucao(oes): 
1240 | valido, desvia 1/0 | 1 solucao(oes): 42262322 2
1243 | valido, desvia 0/1 | 1 solucao(oes): 42307804 3
1244 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 42313742 7 + 42313742 3
1246 | invalido: ue com zeros demais | 1 solucao(oes): 42361557 3 + 42361559 7
1249 | valido, desvia 1/4 | 0 solucao(oes): 
1258 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 42555151 1
1264 | valido, desvia 1/0 | 1 solucao(oes): 42658147 5
1266 | invalido: modification_of_pic_nums_idc=4101 fora de [0,3] | 1 solucao(oes): 42714195 1 + 42714196 5
1269 | invalido: qp=-193 fora de [0,51] | 1 solucao(oes): 42852720 3
1271 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
1272 | valido, desvia 1/0 | 1 solucao(oes): 42912587 5
1281 | valido, desvia 0/3 | 1 solucao(oes): 43094016 4 + 43094016 1
1285 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 43199126 2 + 43199127 0
1287 | invalido: disable_deblocking_filter_idc=6 fora de [0,2] | 1 solucao(oes): 43297388 5
1289 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 43345061 2
1294 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 43587334 0
1296 | valido, desvia 1/0 | 1 solucao(oes): 43634697 1
